127.0.0.1 - - [13/May/2022:09:44:08 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2022:09:44:19 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2022:09:44:22 +0800] "GET /springmvc/mvc/lab/fund/ HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [13/May/2022:09:44:58 +0800] "POST /springmvc/mvc/lab/fund/ HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [13/May/2022:09:44:58 +0800] "GET /springmvc/mvc/lab/fund/ HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [13/May/2022:09:45:01 +0800] "GET /springmvc/mvc/lab/fund/16 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [13/May/2022:09:45:01 +0800] "GET /springmvc/mvc/lab/fund/16 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [13/May/2022:09:45:02 +0800] "GET /springmvc/mvc/lab/fund/16 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [13/May/2022:09:52:04 +0800] "GET /springmvc/mvc/lab/fund/1 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/May/2022:09:52:04 +0800] "GET /springmvc/mvc/lab/fund/1 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/May/2022:09:52:05 +0800] "GET /springmvc/mvc/lab/fund/2 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [13/May/2022:10:33:03 +0800] "GET /springmvc/mvc/lab/fund/1 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/May/2022:10:33:03 +0800] "GET /springmvc/mvc/lab/fund/1 HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [13/May/2022:10:33:16 +0800] "PUT /springmvc/mvc/lab/fund/ HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [13/May/2022:10:33:16 +0800] "GET /springmvc/mvc/lab/fund/ HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [13/May/2022:10:33:20 +0800] "GET /springmvc/mvc/lab/fund/2 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [13/May/2022:10:33:25 +0800] "POST /springmvc/mvc/lab/fund/ HTTP/1.1" 200 11
